# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_144535
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_yaw, body_roll, body_pitch
# Body pose: x, y, z in odom frame (meters), yaw/roll/pitch (EulerZXY) in radians for SE2 and footprint_R_body

74, 1763495138.141593, 0.000711203, -3.118840853, 3.139004469, 1.560750445, -0.002161066, -1.568387985, 0.023188968, 0.444829417, -5.530511537, -4.263505466, -0.077431912, 0.003541343, 0.013346054
75, 1763495138.1752892, 0.000718594, -3.118838310, 3.138999144, 1.560753504, -0.002173265, -1.568387985, 0.023201664, 0.444839944, -5.530510137, -4.263503118, -0.077430900, 0.003538333, 0.013348558
76, 1763495138.199788, 0.000711203, -3.118833462, 3.139001846, 1.560747385, -0.002185424, -1.568375905, 0.023183843, 0.444841126, -5.530504609, -4.263503951, -0.077435201, 0.003532000, 0.013346131
77, 1763495138.2260082, 0.000708739, -3.118833462, 3.139004469, 1.560738285, -0.002182404, -1.568381945, 0.023186445, 0.444843111, -5.530503267, -4.263507932, -0.077444331, 0.003529639, 0.013357241
78, 1763495138.2524831, 0.000711203, -3.118828535, 3.139004469, 1.560753504, -0.002173225, -1.568381945, 0.023188968, 0.444852989, -5.530506301, -4.263504428, -0.077449119, 0.003533629, 0.013362416
79, 1763495138.2824872, 0.000708739, -3.118835847, 3.138999144, 1.560732126, -0.002176245, -1.568387985, 0.023201664, 0.444850371, -5.530504274, -4.263504599, -0.077436315, 0.003533786, 0.013351450
80, 1763495138.315969, 0.000713666, -3.118838390, 3.138999144, 1.560744365, -0.002182364, -1.568384965, 0.023188929, 0.444855512, -5.530498892, -4.263506036, -0.077440977, 0.003513762, 0.013363494
81, 1763495138.344954, 0.000721057, -3.118828535, 3.139007092, 1.560753504, -0.002170245, -1.568372885, 0.023186445, 0.444873848, -5.530488374, -4.263505754, -0.077462263, 0.003511420, 0.013384272
82, 1763495138.372962, 0.000706275, -3.118833462, 3.139007092, 1.560750445, -0.002173265, -1.568381945, 0.023183882, 0.444872134, -5.530493261, -4.263504064, -0.077470200, 0.003505700, 0.013376317
83, 1763495138.398132, 0.000706355, -3.118833462, 3.139001767, 1.560744365, -0.002182325, -1.568384965, 0.023201704, 0.444866745, -5.530477888, -4.263505662, -0.077459570, 0.003490662, 0.013374924
84, 1763495138.4290729, 0.000706275, -3.118833462, 3.139001767, 1.560741305, -0.002179344, -1.568378925, 0.023194015, 0.444875253, -5.530477953, -4.263504236, -0.077467141, 0.003488741, 0.013370116
85, 1763495138.4527638, 0.000708818, -3.118833462, 3.138996442, 1.560747385, -0.002185464, -1.568369865, 0.023194015, 0.444881451, -5.530474850, -4.263503437, -0.077465745, 0.003474277, 0.013374642
86, 1763495138.4753191, 0.000703891, -3.118838310, 3.139001846, 1.560747425, -0.002179305, -1.568381786, 0.023188968, 0.444882577, -5.530461326, -4.263506764, -0.077450044, 0.003465914, 0.013383109
87, 1763495138.505065, 0.000713666, -3.118828535, 3.139001846, 1.560756524, -0.002188444, -1.568375905, 0.023194055, 0.444883200, -5.530461153, -4.263505782, -0.077465081, 0.003449760, 0.013372906
88, 1763495138.534423, 0.000706355, -3.118835926, 3.138999144, 1.560747385, -0.002182404, -1.568384965, 0.023196618, 0.444892741, -5.530455891, -4.263506572, -0.077476499, 0.003454014, 0.013383374
89, 1763495138.56077, 0.000706275, -3.118838390, 3.138996442, 1.560753465, -0.002173185, -1.568381945, 0.023194015, 0.444898469, -5.530461389, -4.263504875, -0.077487791, 0.003464153, 0.013383326
90, 1763495138.5854132, 0.000713746, -3.118835847, 3.139001846, 1.560744365, -0.002179265, -1.568381945, 0.023186405, 0.444898555, -5.530459813, -4.263507038, -0.077491286, 0.003476383, 0.013387045
91, 1763495138.6075032, 0.000718594, -3.118838310, 3.139001846, 1.560738246, -0.002179305, -1.568391005, 0.023196578, 0.444901640, -5.530463451, -4.263506989, -0.077478807, 0.003467824, 0.013384269
92, 1763495138.639838, 0.000711282, -3.118830999, 3.139001767, 1.560744365, -0.002179265, -1.568375905, 0.023191531, 0.444902118, -5.530461942, -4.263507075, -0.077470888, 0.003465993, 0.013383292
93, 1763495138.666326, 0.000711203, -3.118830999, 3.139001846, 1.560759544, -0.002176285, -1.568381786, 0.023196578, 0.444906001, -5.530454018, -4.263505271, -0.077459994, 0.003463216, 0.013377160
94, 1763495138.699507, 0.000706355, -3.118835847, 3.139001767, 1.560747425, -0.002185424, -1.568391005, 0.023199141, 0.444898910, -5.530455877, -4.263503703, -0.077455864, 0.003458206, 0.013361186
95, 1763495138.724405, 0.000716289, -3.118835926, 3.139004469, 1.560741305, -0.002188524, -1.568387985, 0.023196578, 0.444908030, -5.530445453, -4.263505571, -0.077459519, 0.003453067, 0.013371668
96, 1763495138.756187, 0.000703891, -3.118838390, 3.138993740, 1.560738246, -0.002179305, -1.568394025, 0.023181319, 0.444915243, -5.530444919, -4.263503780, -0.077463807, 0.003440585, 0.013378837
97, 1763495138.784393, 0.000716130, -3.118828535, 3.138996442, 1.560738246, -0.002185424, -1.568378766, 0.023199141, 0.444910258, -5.530434661, -4.263504350, -0.077467207, 0.003430912, 0.013373734
98, 1763495138.8071449, 0.000706355, -3.118833462, 3.138999144, 1.560747425, -0.002182404, -1.568369865, 0.023199141, 0.444914330, -5.530435491, -4.263502140, -0.077488088, 0.003427180, 0.013362974
99, 1763495138.851516, 0.000708818, -3.118830999, 3.139001846, 1.560729106, -0.002176285, -1.568391005, 0.023201664, 0.444916235, -5.530430070, -4.263504239, -0.077478736, 0.003426952, 0.013362539
100, 1763495138.8733969, 0.000721057, -3.118828535, 3.139001846, 1.560744365, -0.002188444, -1.568378766, 0.023188968, 0.444916906, -5.530427500, -4.263501595, -0.077471282, 0.003431604, 0.013354022
101, 1763495138.9016662, 0.000716289, -3.118840853, 3.139001846, 1.560750445, -0.002167145, -1.568394025, 0.023186405, 0.444914188, -5.530427231, -4.263501926, -0.077452463, 0.003425161, 0.013350865
102, 1763495138.928052, 0.000721137, -3.118830999, 3.139001846, 1.560747425, -0.002170165, -1.568378925, 0.023199141, 0.444916358, -5.530431188, -4.263502136, -0.077471230, 0.003431845, 0.013359041
103, 1763495138.953055, 0.000706275, -3.118826071, 3.139001846, 1.560738246, -0.002170205, -1.568378925, 0.023183882, 0.444908749, -5.530433122, -4.263502283, -0.077463135, 0.003427886, 0.013335578
104, 1763495138.9802601, 0.000711203, -3.118833462, 3.139004469, 1.560735186, -0.002176245, -1.568391005, 0.023188968, 0.444914615, -5.530425830, -4.263504596, -0.077460722, 0.003423558, 0.013347309
105, 1763495139.002265, 0.000703891, -3.118823608, 3.139001846, 1.560753504, -0.002173185, -1.568378925, 0.023191492, 0.444917784, -5.530414232, -4.263500160, -0.077452931, 0.003414734, 0.013332602
106, 1763495139.029113, 0.000711203, -3.118840774, 3.139004469, 1.560750484, -0.002191464, -1.568384965, 0.023183882, 0.444914132, -5.530413555, -4.263499229, -0.077455028, 0.003411716, 0.013320783
107, 1763495139.05326, 0.000706275, -3.118830999, 3.139001767, 1.560744325, -0.002179344, -1.568391005, 0.023188968, 0.444906822, -5.530410666, -4.263500782, -0.077469209, 0.003395485, 0.013307665
108, 1763495139.076022, 0.000713666, -3.118835926, 3.139001846, 1.560750445, -0.002185424, -1.568384965, 0.023204227, 0.444910007, -5.530404641, -4.263501407, -0.077481271, 0.003395645, 0.013313367
109, 1763495139.10296, 0.000708739, -3.118826071, 3.139001846, 1.560744365, -0.002173225, -1.568366687, 0.023188968, 0.444906615, -5.530401828, -4.263499209, -0.077486308, 0.003394574, 0.013297133
110, 1763495139.123183, 0.000708818, -3.118845622, 3.138996442, 1.560744365, -0.002182404, -1.568387985, 0.023191492, 0.444909397, -5.530407749, -4.263500964, -0.077476276, 0.003406865, 0.013302693
111, 1763495139.154321, 0.000713666, -3.118828535, 3.139004469, 1.560747425, -0.002188524, -1.568372885, 0.023191531, 0.444918880, -5.530416295, -4.263500617, -0.077449614, 0.003423471, 0.013317791
112, 1763495139.178507, 0.000716130, -3.118830999, 3.138999065, 1.560741305, -0.002176245, -1.568381945, 0.023183882, 0.444914824, -5.530425405, -4.263501330, -0.077454552, 0.003433107, 0.013302480
113, 1763495139.205633, 0.000708739, -3.118838310, 3.138999144, 1.560744365, -0.002191544, -1.568384965, 0.023194055, 0.444904891, -5.530425613, -4.263502468, -0.077435357, 0.003437763, 0.013282337
114, 1763495139.233446, 0.000718594, -3.118838390, 3.139001846, 1.560741305, -0.002164086, -1.568384965, 0.023181319, 0.444909306, -5.530426339, -4.263501589, -0.077421515, 0.003447448, 0.013287223
115, 1763495139.280939, 0.000706275, -3.118838390, 3.139004469, 1.560756524, -0.002182404, -1.568375746, 0.023196618, 0.444904932, -5.530432755, -4.263503115, -0.077431255, 0.003460865, 0.013278001
