# Arm joint positions collected at 50.0 Hz
# Timestamp: 20251029_213355
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage

229, -0.006914, -1.821066, 2.613733, 0.047643, -0.687427, -0.042607, 0.006071
230, -0.006885, -1.781404, 2.584739, 0.047652, -0.698111, -0.042588, 0.006025
231, -0.007055, -1.744345, 2.556792, 0.047661, -0.707451, -0.042561, 0.006033
232, -0.007526, -1.713680, 2.533111, 0.047661, -0.713505, -0.042561, 0.006064
233, -0.008198, -1.673752, 2.501553, 0.047652, -0.718938, -0.042524, 0.006064
234, -0.008699, -1.635277, 2.469659, 0.047643, -0.723458, -0.042497, 0.006056
235, -0.009083, -1.598233, 2.437038, 0.047643, -0.727439, -0.042506, 0.005934
236, -0.009326, -1.570658, 2.411807, 0.047643, -0.729292, -0.042470, 0.005865
237, -0.009695, -1.539403, 2.382030, 0.047643, -0.731429, -0.042433, 0.005980
238, -0.010218, -1.504505, 2.346980, 0.047652, -0.731319, -0.042406, 0.006003
239, -0.010727, -1.470264, 2.311723, 0.047643, -0.731265, -0.042369, 0.006010
240, -0.011059, -1.444923, 2.285110, 0.047634, -0.730808, -0.042333, 0.006018
241, -0.011273, -1.411891, 2.249716, 0.047643, -0.729557, -0.042305, 0.005987
242, -0.011398, -1.383343, 2.218294, 0.047643, -0.727366, -0.042314, 0.005980
243, -0.011531, -1.351240, 2.182022, 0.047643, -0.722673, -0.042260, 0.006025
244, -0.011811, -1.319867, 2.144838, 0.047634, -0.715441, -0.042260, 0.005980
245, -0.012268, -1.288878, 2.107280, 0.047643, -0.707588, -0.042214, 0.005980
246, -0.012637, -1.261864, 2.074028, 0.047625, -0.701033, -0.042196, 0.005949
247, -0.012969, -1.235211, 2.040264, 0.047606, -0.694340, -0.042205, 0.005934
248, -0.013426, -1.189427, 1.980495, 0.047652, -0.680159, -0.042168, 0.005972
249, -0.013530, -1.174257, 1.959986, 0.047625, -0.674297, -0.042205, 0.005919
250, -0.013663, -1.151240, 1.929194, 0.047616, -0.666764, -0.042150, 0.005964
251, -0.013773, -1.120818, 1.887241, 0.047625, -0.656766, -0.042205, 0.005972
252, -0.013795, -1.094129, 1.849707, 0.047643, -0.645280, -0.042177, 0.005964
253, -0.013898, -1.059408, 1.800635, 0.047652, -0.631355, -0.042205, 0.005957
254, -0.014046, -1.040166, 1.772928, 0.047625, -0.623338, -0.042214, 0.005957
255, -0.014385, -1.009273, 1.727731, 0.047616, -0.608062, -0.042205, 0.005972
256, -0.014791, -0.978343, 1.681680, 0.047634, -0.594257, -0.042214, 0.005995
257, -0.015027, -0.950908, 1.640095, 0.047625, -0.579209, -0.042250, 0.005972
258, -0.015019, -0.916091, 1.585774, 0.047625, -0.560956, -0.042287, 0.006018
259, -0.014997, -0.893000, 1.548264, 0.047643, -0.546073, -0.042369, 0.005911
260, -0.014894, -0.865883, 1.503722, 0.047652, -0.530423, -0.042424, 0.006041
261, -0.014960, -0.834628, 1.450736, 0.047652, -0.508810, -0.042616, 0.005835
262, -0.015204, -0.803365, 1.395984, 0.047725, -0.487946, -0.045054, 0.006041
263, -0.015506, -0.767605, 1.331189, 0.048227, -0.461686, -0.049646, 0.006087
264, -0.015543, -0.742913, 1.285434, 0.050565, -0.441717, -0.053043, 0.005758
265, -0.015838, -0.708001, 1.221222, 0.052820, -0.415055, -0.056239, 0.005880
266, -0.016096, -0.675610, 1.161860, 0.056372, -0.390566, -0.059745, 0.006117
267, -0.016361, -0.636943, 1.090634, 0.060800, -0.360690, -0.063680, 0.006148
268, -0.016531, -0.601750, 1.024889, 0.062645, -0.332466, -0.066465, 0.006193
269, -0.016634, -0.570016, 0.964959, 0.065868, -0.306416, -0.068355, 0.005919
270, -0.017033, -0.526644, 0.882955, 0.067028, -0.274193, -0.068785, 0.006224
271, -0.017807, -0.487240, 0.807375, 0.066763, -0.246207, -0.068155, 0.006239
272, -0.018810, -0.458330, 0.750873, 0.061485, -0.223325, -0.063187, 0.006003
273, -0.019946, -0.437172, 0.707163, 0.053130, -0.204178, -0.055463, 0.006132
274, -0.021199, -0.422946, 0.674613, 0.042876, -0.189632, -0.045401, 0.006025
275, -0.022011, -0.417201, 0.658251, 0.033691, -0.181734, -0.035074, 0.005919
276, -0.022328, -0.416670, 0.652978, 0.027975, -0.178365, -0.028965, 0.005919
277, -0.022416, -0.417916, 0.650677, 0.024240, -0.175982, -0.025367, 0.005942
278, -0.022343, -0.420018, 0.649974, 0.022789, -0.174548, -0.023980, 0.005942
279, -0.022188, -0.423034, 0.649950, 0.022725, -0.172704, -0.023688, 0.005888
280, -0.022129, -0.425792, 0.649678, 0.022752, -0.170805, -0.023633, 0.005850
281, -0.022063, -0.428440, 0.649183, 0.022734, -0.170403, -0.023688, 0.005896
282, -0.021974, -0.431759, 0.648712, 0.022716, -0.170257, -0.023633, 0.005888
283, -0.021915, -0.434539, 0.648049, 0.022725, -0.170284, -0.023651, 0.005926
284, -0.021871, -0.437165, 0.647705, 0.022716, -0.170303, -0.023669, 0.005972
285, -0.021886, -0.439974, 0.647465, 0.022706, -0.170257, -0.023651, 0.005957
286, -0.021930, -0.441892, 0.647034, 0.022697, -0.170312, -0.023614, 0.006025
287, -0.022011, -0.443868, 0.646994, 0.022661, -0.170175, -0.023623, 0.005949
288, -0.022099, -0.445151, 0.646906, 0.022615, -0.170138, -0.023596, 0.006010
289, -0.022218, -0.446457, 0.647002, 0.022542, -0.169901, -0.023587, 0.006010
290, -0.022343, -0.446951, 0.646994, 0.022533, -0.169681, -0.023605, 0.006010
291, -0.022453, -0.447747, 0.647138, 0.022442, -0.168668, -0.023623, 0.005995
292, -0.022431, -0.448463, 0.647178, 0.022387, -0.166796, -0.023596, 0.005964
293, -0.022350, -0.449090, 0.647369, 0.022332, -0.165764, -0.023523, 0.005972
294, -0.022321, -0.449422, 0.647497, 0.022332, -0.165673, -0.023551, 0.005942
295, -0.022232, -0.450137, 0.647529, 0.022295, -0.165600, -0.023551, 0.005934
296, -0.022136, -0.450852, 0.647585, 0.022259, -0.165436, -0.023541, 0.005919
297, -0.022143, -0.451501, 0.647585, 0.022259, -0.165326, -0.023541, 0.005919
298, -0.022114, -0.452268, 0.647585, 0.022223, -0.165171, -0.023505, 0.005949
299, -0.022136, -0.452637, 0.647617, 0.022204, -0.165034, -0.023478, 0.005919
300, -0.022188, -0.453043, 0.647569, 0.022149, -0.164669, -0.023505, 0.005980
301, -0.022276, -0.453205, 0.647545, 0.022140, -0.163765, -0.023496, 0.005957
302, -0.022291, -0.453492, 0.647513, 0.022122, -0.162907, -0.023496, 0.005949
303, -0.022269, -0.453876, 0.647441, 0.022104, -0.162642, -0.023496, 0.005964
304, -0.022269, -0.454149, 0.647369, 0.022104, -0.162450, -0.023505, 0.005964
305, -0.022232, -0.454252, 0.647346, 0.022085, -0.162423, -0.023468, 0.005964
306, -0.022181, -0.454407, 0.647305, 0.022095, -0.162350, -0.023468, 0.005964
307, -0.022129, -0.454503, 0.647322, 0.022076, -0.162322, -0.023441, 0.005964
308, -0.022107, -0.454532, 0.647322, 0.022067, -0.162285, -0.023423, 0.005980
309, -0.022084, -0.454555, 0.647322, 0.022067, -0.162249, -0.023432, 0.005942
310, -0.022084, -0.454584, 0.647314, 0.022095, -0.162194, -0.023450, 0.005942
