# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130129
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

65, 1763488891.011638, -0.017386913, -0.768197139, 2.154367129, 0.029298862, -1.420977672, -0.019435485, 0.960128911, 0.166861755, -5.361800416, -4.083751929, -0.194872039
66, 1763488891.033215, -0.017386913, -0.768197060, 2.154369831, 0.029295762, -1.420977672, -0.019432545, 0.960131454, 0.166867520, -5.361804407, -4.083748683, -0.194885146
67, 1763488891.06128, -0.017384211, -0.768204451, 2.154367129, 0.029295762, -1.420962493, -0.019432545, 0.960133998, 0.166857895, -5.361801090, -4.083753658, -0.194893534
68, 1763488891.090784, -0.017384370, -0.768194675, 2.154369831, 0.029298782, -1.420977672, -0.019438585, 0.960123800, 0.166850698, -5.361806551, -4.083753687, -0.194902414
69, 1763488891.113861, -0.017386754, -0.768202066, 2.154372533, 0.029295762, -1.420962493, -0.019435565, 0.960123800, 0.166848143, -5.361811337, -4.083754072, -0.194901854
70, 1763488891.141846, -0.017389297, -0.768202066, 2.154367129, 0.029289722, -1.420992851, -0.019429445, 0.960131429, 0.166838397, -5.361800773, -4.083754790, -0.194914720
71, 1763488891.164478, -0.017389297, -0.768201987, 2.154369831, 0.029292742, -1.420971632, -0.019435565, 0.960123800, 0.166841956, -5.361805591, -4.083755710, -0.194927223
72, 1763488891.19105, -0.017386754, -0.768206835, 2.154361725, 0.029301882, -1.420968533, -0.019426505, 0.960128911, 0.166846797, -5.361805966, -4.083755318, -0.194944082
73, 1763488891.217172, -0.017386754, -0.768199523, 2.154369831, 0.029301882, -1.420965592, -0.019417365, 0.960133998, 0.166834827, -5.361798927, -4.083755132, -0.194970480
74, 1763488891.241024, -0.017379363, -0.768204431, 2.154372533, 0.029301882, -1.420971632, -0.019438585, 0.960126368, 0.166837742, -5.361800592, -4.083755203, -0.194961568
75, 1763488891.2673259, -0.017384211, -0.768204431, 2.154367129, 0.029314041, -1.420956373, -0.019435565, 0.960118688, 0.166831866, -5.361792663, -4.083752399, -0.194945656
76, 1763488891.2916238, -0.017384370, -0.768206894, 2.154369831, 0.029295762, -1.420986811, -0.019438585, 0.960139084, 0.166818469, -5.361791411, -4.083753952, -0.194952933
77, 1763488891.315038, -0.017384211, -0.768201987, 2.154364506, 0.029301961, -1.420965513, -0.019435565, 0.960126368, 0.166814596, -5.361785484, -4.083756169, -0.194943495
78, 1763488891.346729, -0.017384370, -0.768204431, 2.154372533, 0.029289643, -1.420974731, -0.019429525, 0.960131404, 0.166805711, -5.361784731, -4.083756340, -0.194931648
79, 1763488891.369649, -0.017379363, -0.768199583, 2.154367129, 0.029298862, -1.420974652, -0.019438585, 0.960121257, 0.166796099, -5.361783851, -4.083758773, -0.194917885
80, 1763488891.3991199, -0.017379363, -0.768197060, 2.154375235, 0.029301882, -1.420977672, -0.019426425, 0.960116145, 0.166788328, -5.361776664, -4.083758461, -0.194922982
81, 1763488891.426778, -0.017381827, -0.768202066, 2.154361725, 0.029292663, -1.420974652, -0.019456863, 0.960118688, 0.166779749, -5.361776121, -4.083760716, -0.194915634
82, 1763488891.4548538, -0.017381827, -0.768197139, 2.154369831, 0.029311101, -1.420974652, -0.019438585, 0.960121257, 0.166781678, -5.361778851, -4.083759989, -0.194906130
83, 1763488891.478751, -0.017389297, -0.768194675, 2.154367129, 0.029292742, -1.420974652, -0.019432545, 0.960128911, 0.166763137, -5.361777409, -4.083760254, -0.194906688
84, 1763488891.50854, -0.017384370, -0.768201987, 2.154369831, 0.029298862, -1.420986811, -0.019444704, 0.960123800, 0.166750095, -5.361778952, -4.083763881, -0.194910798
85, 1763488891.534452, -0.017384370, -0.768199603, 2.154364427, 0.029311101, -1.420983791, -0.019435565, 0.960136541, 0.166739432, -5.361772137, -4.083760472, -0.194917943
86, 1763488891.556421, -0.017384370, -0.768199523, 2.154364427, 0.029295842, -1.420974652, -0.019429445, 0.960136515, 0.166734032, -5.361769659, -4.083764808, -0.194929185
